EBAY,YHOO
47.869999,17.24
47.73,17.26
47.469999,17.51
47.739998,17.85
46.469998,17.83
46.519998,17.889999
47.259997,17.860001
47.919999,18.360001
48.259997,18.24
48.630001,18.4
49.009997,18.57
51.400001,18.76
51.15,18.93
51.47,18.91
52.199996,18.870001
52.82,18.77
52.039999,18.549999
51.989999,18.93
52.02,18.889999
51.989999,19.200001
51.739999,19.200001
51.17,19.43
51.989999,19.52
51.859998,19.379999
51.02,19.35
50.359998,19.639999
51.309998,19.690001
51.909998,19.620001
51.339999,19.6
52.139999,19.690001
51.350001,19.35
51.079997,19.65
50.239998,19.57
50.289998,19.6
49.809997,19.5
51.0,19.9
53.589999,20.08
52.449996,19.780001
52.779997,19.860001
53.509998,19.4
52.679997,19.66
52.759998,19.32
52.999996,18.99
53.699997,19.290001
53.179997,19.43
52.509998,19.52
52.899996,20.07
54.17,20.129999
54.209999,20.02
53.37,19.9
53.379997,20.110001
55.19,20.440001
56.529998,20.370001
55.949997,20.309999
55.659999,19.700001
55.779998,20.120001
55.969996,19.629999
57.209999,19.76
55.69,19.34
56.419996,19.66
56.109999,19.85
56.129998,20.32
56.619997,20.5
56.409999,20.9
56.779998,21.209999
57.049998,21.15
56.829998,21.18
56.699997,21.02
56.679998,21.290001
55.529998,20.92
54.620001,20.83
55.019996,21.219999
53.609998,20.73
53.82,20.76
54.149997,21.16
54.709999,21.309999
54.899997,21.940001
55.479998,22.700001
55.259999,22.950001
53.57,22.799999
52.979997,22.700001
53.129997,22.9
52.759998,22.6
52.959998,22.4
50.979997,22.34
51.800001,22.43
50.409998,22.07
50.109997,22.01
51.1,22.17
52.42,22.1
52.92,22.860001
53.27,23.26
51.309998,23.379999
52.089999,23.59
52.07,23.59
54.22,23.530001
55.709999,23.5
56.159999,23.780001
55.499997,23.379999
55.79,23.52
55.519996,23.299999
55.86999599999999,23.48
56.069996,23.83
57.299998,24.200001
57.779999,24.49
57.309999,24.690001
55.84,23.98
57.009999,23.790001
56.099997,23.700001
52.82,23.26
52.389999,23.469999
51.629997,23.950001
52.489999,24.379999
52.97,24.75
52.359998,25.200001
52.539999,24.68
52.839999,24.43
52.389999,24.73
52.399996,24.299999
53.549997,24.969999
54.209999,25.07
54.089999,25.17
53.939999,26.07
54.959999,26.41
55.169996,26.24
55.649997,26.83
55.329998,26.389999
56.269996,26.639999
56.649997,27.34
55.799997,26.58
56.709999,26.52
55.949997,26.58
54.949997,27.0
54.399997,26.540001
54.479998,26.02
54.64,26.33
55.529998,26.07
55.049997,25.809999
55.099997,26.33
54.099997,26.299999
53.409998,26.389999
52.589999,26.26
51.359998,25.75
51.52,26.209999
51.450001,27.040001
53.249996,26.74
52.049996,26.4
50.75,25.889999
51.479997,26.370001
51.289999,26.280001
52.07,26.540001
52.559998,26.66
52.229997,26.24
50.739999,25.35
51.129997,25.190001
50.819999,24.07
51.639999,24.959999
51.329997,25.290001
52.139999,25.469999
51.72,25.129999
52.899996,25.24
53.329997,24.99
53.17,25.59
53.849997,25.68
53.709998,25.530001
54.49,26.68
54.879998,26.559999
55.879998,27.040001
57.04,27.23
56.449997,27.34
56.809999,26.879999
57.379999,29.66
53.52,29.66
52.189999,29.110001
52.309998,27.860001
51.639999,27.360001
52.099996,27.84
51.500001,28.27
52.249996,28.110001
51.639999,27.93
51.979997,28.049999
51.689999,28.09
52.409998,27.959999
52.539999,27.65
52.709998,27.67
53.699997,27.32
53.009998,27.389999
53.57,27.48
53.329997,27.68
53.279997,28.35
54.12,28.34
54.229998,28.049999
53.179997,27.139999
52.92,27.32
52.07,26.91
51.989999,27.120001
50.959998,27.059999
51.079997,27.9
51.650001,27.99
51.959998,27.700001
50.609998,27.0
50.429997,27.110001
50.989999,27.299999
49.989998,27.120001
50.319999,27.780001
51.450001,28.07
51.950001,28.23
52.829997,28.17
52.67,29.24
53.489999,29.48
54.279998,29.190001
54.029998,29.65
53.82,29.26
53.649997,29.620001
54.629998,30.0
54.679998,30.440001
54.449997,31.030001
54.949997,30.93
54.759999,30.26
55.169996,31.27
54.209999,31.34
56.64,32.75
55.779998,33.549999
55.799997,33.169998
55.969996,34.310001
55.629998,34.139999
54.909999,33.880001
55.579998,34.889999
54.57,34.139999
52.97,32.93
52.329997,33.009998
53.42,33.869999
54.37,34.150002
54.770001,34.0
53.97,33.380001
53.52,33.09
51.379997,32.740002000000004
52.199996,33.43
51.939999,34.060001
51.829997,33.939999
51.729997,33.099998
52.339999,33.080002
51.639999,32.25
51.97,32.349998
53.339999,33.169998
52.729997,32.57
52.709998,32.939999
51.939999,33.18
51.37,33.189999
51.079997,32.970001
53.279997,32.880001
52.57,32.110001000000004
52.999996,33.119999
52.82,33.82
52.829997,34.07
53.029997,35.099998
52.879997,35.689999
52.599996,35.470001
52.079997,34.98
52.129997,34.630001
50.389998,35.619999
50.209997,36.299999
50.329997,36.490002
49.039998,36.290001
48.759997,36.639999
49.3,36.959999
50.519999,36.98
51.350001,37.009998
51.929997,36.560001
51.089999,38.130001
51.409998,38.869999
52.009998,38.860001
51.689999,38.869999
51.92,40.220001
51.37,39.16
51.37,39.349998
51.550001,39.73
53.109998,39.73
52.579997,39.509998
53.129997,40.040001
53.399997,40.200001
54.579998,40.119999
55.299997,40.77
55.169996,40.849998
54.059999,40.650002
54.179998,40.490002
54.009999,40.200001
54.870001,40.439999
53.939995,39.59
53.259998,40.119999
51.779997,39.93
52.869995,40.919998
52.369995,41.02
52.07,40.919998
52.159998,41.23
52.539999,39.990002
52.959998,41.139999
53.789999,41.07
53.739999,40.34
53.200001,40.009998
54.150001,39.52
54.409999,40.18
54.939995,39.389999
54.36999599999999,37.91
52.879997,36.650002
53.159998,38.220001
52.189999,34.889999
53.179997,35.310001
53.200001,36.009998
52.389999,34.900002
52.909998,35.66
53.52,35.49000200000001
54.36999599999999,36.240002
54.59,37.23
53.779998,37.759998
54.309999,38.5
54.830002,38.110001
54.919996,38.52
54.770001,38.23
55.150002,38.310001
54.74,37.810001
54.959999,37.790001
54.59,37.290001
56.299997,37.419998
56.150002,37.259998
57.34,37.619999
58.340001,38.470001
58.769997,38.669998
58.31,38.25
59.06,39.630001
58.86,39.5
59.299998,39.66
59.06,38.700001
58.220001,38.049999
57.54,37.560001
57.979999,37.5
56.699997,37.23
56.74,37.599998
57.419997,39.110001
57.84,39.450001
57.299998,38.610001
57.119997,37.77
56.959999,37.939999
56.54,36.68
56.329998,35.93
55.599997,35.450001
55.179998,35.59
55.189995,35.900002
55.24,35.900002
56.04,36.490002
55.449997,36.639999
54.580002,35.759998
53.999997,34.259998
52.950001,33.07
54.799997,33.830002
55.89,34.869999
54.080002,33.400002
53.459998,32.869999
53.979998,33.450001
53.900001,34.209999
54.689995,36.349998
54.970001,36.380001
54.929998,36.400002
55.470001,36.139999
54.939995,35.439999
54.84,35.24000200000001
53.72,34.48
53.639999,33.990002000000004
54.54,35.830002
51.830002,35.950001
51.689999,36.509998
52.009998,36.869999
51.999996,36.91
50.95,36.490002
50.569999,34.07
50.259997,33.919998
50.539998,33.759998
51.330001,34.450001
51.580001,34.400002
51.650001,34.169998
51.359998,33.799999
51.950001,33.41
52.330002,33.889999
51.959998,33.869999
51.88000200000001,34.360001000000004
51.500001,34.700001
52.02,35.02
51.77,35.119999
50.389998,34.779999
50.139998,34.900002
50.729997,34.650002
50.489998,34.869999
50.419995,34.650002
50.45,34.73
50.580001,34.939999
49.7,35.919998
49.580001,36.040001
48.25,36.310001
48.830001,36.630001
48.560002,36.779999
49.039998,36.939999
49.0,34.810001
49.060002,34.43
49.659997,34.939999
49.599995,34.68
49.339998,34.049999
49.389998,33.639999
48.849995,33.48
49.319999,33.25
49.469999,33.66
50.080001,34.25
50.060002,35.130001
50.5,35.349998
50.549996,35.880001
50.939999,36.139999
50.739999,35.52
50.179997,34.529999
50.929997,34.849998
50.339998,34.93
51.500001,35.43
51.159998,35.700001
50.819999,35.61000100000001
50.7,33.790001000000004
51.029997,33.209999
51.479997,33.330002
51.700001,33.279999
52.049996,33.599998
52.659998,34.709999
53.229997,36.169998
52.749996,36.119999
52.929997,35.900002
53.209998,35.68
53.229997,36.599998
